location_type,industry_hint,business_size,cleaning_needs_m2,budget_eur,prior_cleaning_machine,usage_frequency,dirt_type,eco_preference,price_sensitivity,customer_segment
rural,retail,39,2259,4292,da,zilnic,usoara,nu,mediu,firma_curatenie
urban,retail,81,7192,1197,da,saptamanal,medie,nu,mediu,firma_curatenie
urban,firm_curatenie,81,2077,663,nu,saptamanal,usoara,nu,ridicat,firma_curatenie
urban,persoana_fizica,5,626,237,nu,ocazional,usoara,da,scazut,persoana_fizica
urban,firm_curatenie,36,1069,3474,da,saptamanal,medie,nu,mediu,firma_curatenie
urban,horeca,51,8609,3339,da,zilnic,greu,nu,ridicat,horeca
periurban,persoana_fizica,3,494,181,da,saptamanal,usoara,nu,scazut,persoana_fizica
urban,horeca,124,13811,2864,da,ocazional,medie,nu,mediu,firma_curatenie
urban,persoana_fizica,4,147,281,nu,lunar,usoara,nu,mediu,firma_curatenie
urban,industrial,163,2422,4035,nu,ocazional,usoara,da,ridicat,persoana_fizica
urban,firm_curatenie,14,2259,2480,nu,saptamanal,usoara,nu,mediu,firma_curatenie
urban,persoana_fizica,1,124,189,nu,lunar,medie,da,mediu,persoana_fizica
urban,horeca,9,1305,1667,da,saptamanal,medie,da,mediu,horeca
periurban,firm_curatenie,81,5485,1033,da,zilnic,usoara,nu,mediu,horeca
urban,firm_curatenie,5,534,2525,nu,zilnic,medie,nu,mediu,firma_curatenie
urban,industrial,480,72942,50,nu,zilnic,medie,da,ridicat,firma_curatenie
urban,retail,5,489,3075,nu,lunar,usoara,nu,mediu,firma_curatenie
urban,industrial,76,9443,4488,nu,ocazional,medie,nu,scazut,firma_curatenie
rural,industrial,464,74262,7838,nu,zilnic,usoara,da,ridicat,firma_curatenie
periurban,firm_curatenie,167,8498,2601,da,ocazional,usoara,nu,mediu,firma_curatenie
urban,horeca,19,428,3066,da,saptamanal,medie,nu,mediu,firma_curatenie
urban,persoana_fizica,3,333,114,nu,saptamanal,medie,nu,mediu,persoana_fizica
urban,persoana_fizica,5,109,118,nu,saptamanal,medie,nu,ridicat,persoana_fizica
urban,horeca,34,5291,2032,da,saptamanal,usoara,nu,mediu,horeca
urban,horeca,107,15691,4302,da,saptamanal,usoara,nu,mediu,horeca
urban,persoana_fizica,2,355,341,nu,lunar,medie,nu,ridicat,persoana_fizica
urban,persoana_fizica,3,394,226,nu,lunar,usoara,nu,mediu,persoana_fizica
urban,firm_curatenie,175,3984,1410,da,lunar,medie,da,scazut,firma_curatenie
periurban,persoana_fizica,1,58,161,nu,saptamanal,medie,nu,mediu,persoana_fizica
urban,persoana_fizica,4,654,164,da,lunar,medie,nu,mediu,persoana_fizica
urban,persoana_fizica,1,41,283,nu,lunar,usoara,nu,mediu,firma_curatenie
periurban,firm_curatenie,161,22976,1541,da,ocazional,greu,da,mediu,firma_curatenie
urban,persoana_fizica,2,316,196,nu,saptamanal,medie,nu,mediu,persoana_fizica
urban,firm_curatenie,125,9090,3344,nu,ocazional,medie,nu,mediu,firma_curatenie
urban,horeca,7,498,2148,da,lunar,medie,nu,ridicat,persoana_fizica
urban,retail,38,4407,3168,nu,lunar,usoara,da,mediu,persoana_fizica
periurban,persoana_fizica,3,520,272,da,zilnic,usoara,nu,ridicat,firma_curatenie
periurban,horeca,147,7723,3095,nu,saptamanal,greu,nu,ridicat,horeca
urban,persoana_fizica,1,188,356,nu,saptamanal,usoara,nu,scazut,persoana_fizica
urban,persoana_fizica,1,123,333,da,zilnic,medie,da,mediu,firma_curatenie
urban,retail,92,18262,2815,da,saptamanal,medie,nu,mediu,firma_curatenie
urban,persoana_fizica,4,108,135,nu,ocazional,usoara,da,ridicat,persoana_fizica
urban,persoana_fizica,1,34,139,da,saptamanal,medie,nu,mediu,firma_curatenie
rural,persoana_fizica,4,668,217,nu,zilnic,greu,da,scazut,firma_curatenie
urban,firm_curatenie,81,14118,909,da,saptamanal,usoara,da,ridicat,firma_curatenie
rural,horeca,9,851,3403,nu,zilnic,medie,nu,mediu,firma_curatenie
urban,horeca,82,11945,5532,nu,saptamanal,medie,nu,ridicat,horeca
urban,persoana_fizica,3,524,204,nu,saptamanal,medie,nu,scazut,persoana_fizica
urban,persoana_fizica,4,72,198,da,saptamanal,usoara,nu,ridicat,persoana_fizica
periurban,horeca,87,10357,4279,da,lunar,medie,da,mediu,firma_curatenie
periurban,firm_curatenie,179,30816,2524,da,zilnic,greu,da,mediu,firma_curatenie
periurban,persoana_fizica,4,342,108,da,ocazional,usoara,nu,ridicat,persoana_fizica
urban,horeca,99,6677,2317,nu,ocazional,medie,nu,mediu,horeca
urban,persoana_fizica,1,161,351,nu,zilnic,greu,nu,mediu,firma_curatenie
periurban,firm_curatenie,57,4206,2325,da,lunar,medie,nu,mediu,firma_curatenie
urban,persoana_fizica,5,53,119,nu,saptamanal,medie,nu,ridicat,persoana_fizica
urban,industrial,215,41348,4424,da,saptamanal,greu,nu,mediu,firma_curatenie
urban,firm_curatenie,64,7840,217,da,zilnic,usoara,nu,ridicat,firma_curatenie
rural,persoana_fizica,2,331,51,nu,saptamanal,medie,nu,mediu,persoana_fizica
rural,firm_curatenie,116,19349,2982,nu,ocazional,medie,nu,mediu,firma_curatenie
urban,persoana_fizica,5,113,199,nu,zilnic,usoara,da,scazut,persoana_fizica
periurban,persoana_fizica,3,127,241,da,zilnic,medie,da,ridicat,persoana_fizica
rural,horeca,74,5114,4736,da,zilnic,usoara,da,mediu,horeca
urban,persoana_fizica,2,141,227,da,saptamanal,usoara,nu,mediu,persoana_fizica
urban,retail,68,9191,3379,nu,ocazional,usoara,nu,mediu,firma_curatenie
rural,firm_curatenie,113,14508,2257,nu,saptamanal,usoara,nu,mediu,firma_curatenie
urban,firm_curatenie,193,20066,3286,da,zilnic,usoara,nu,ridicat,firma_curatenie
urban,retail,79,3961,4628,nu,saptamanal,medie,nu,mediu,firma_curatenie
urban,persoana_fizica,3,247,215,da,saptamanal,usoara,da,ridicat,persoana_fizica
rural,retail,52,5890,2689,nu,zilnic,medie,nu,scazut,firma_curatenie
rural,persoana_fizica,4,395,225,da,saptamanal,medie,nu,mediu,persoana_fizica
rural,retail,21,717,2373,da,zilnic,usoara,nu,mediu,firma_curatenie
urban,horeca,5,667,2399,da,lunar,greu,da,mediu,firma_curatenie
periurban,persoana_fizica,5,119,283,da,saptamanal,greu,da,scazut,persoana_fizica
periurban,industrial,459,37572,3803,nu,lunar,usoara,nu,mediu,firma_curatenie
urban,persoana_fizica,3,434,163,nu,ocazional,greu,da,ridicat,persoana_fizica
periurban,firm_curatenie,187,2581,2898,nu,ocazional,medie,nu,scazut,persoana_fizica
urban,horeca,111,13130,4462,nu,zilnic,usoara,da,mediu,firma_curatenie
urban,firm_curatenie,192,14123,4333,da,ocazional,medie,nu,mediu,firma_curatenie
urban,firm_curatenie,12,140,3219,nu,lunar,medie,nu,scazut,firma_curatenie
urban,horeca,90,4155,4240,nu,lunar,medie,nu,mediu,horeca
urban,persoana_fizica,4,755,277,da,zilnic,medie,da,mediu,firma_curatenie
urban,persoana_fizica,3,327,188,da,zilnic,usoara,nu,mediu,firma_curatenie
urban,horeca,141,28125,3843,nu,ocazional,greu,nu,mediu,firma_curatenie
periurban,persoana_fizica,2,219,248,da,zilnic,greu,nu,ridicat,horeca
urban,firm_curatenie,134,15188,1457,nu,zilnic,medie,da,scazut,firma_curatenie
urban,firm_curatenie,84,7093,1951,da,saptamanal,usoara,nu,mediu,firma_curatenie
urban,firm_curatenie,99,6821,2952,nu,ocazional,medie,da,mediu,firma_curatenie
periurban,persoana_fizica,5,288,198,nu,saptamanal,medie,nu,scazut,persoana_fizica
urban,firm_curatenie,94,7073,2611,da,ocazional,greu,nu,ridicat,firma_curatenie
urban,horeca,63,6134,4345,da,saptamanal,greu,da,mediu,horeca
periurban,horeca,32,1487,4275,da,zilnic,greu,da,mediu,horeca
urban,retail,74,3901,4576,nu,saptamanal,medie,nu,mediu,firma_curatenie
urban,firm_curatenie,18,1108,1418,nu,lunar,greu,da,scazut,firma_curatenie
urban,persoana_fizica,4,381,331,da,saptamanal,usoara,nu,mediu,persoana_fizica
periurban,persoana_fizica,5,670,237,nu,saptamanal,usoara,nu,ridicat,persoana_fizica
urban,retail,58,10014,3500,da,zilnic,usoara,nu,scazut,firma_curatenie
periurban,industrial,483,31180,7090,nu,saptamanal,greu,da,mediu,firma_curatenie
urban,firm_curatenie,124,5568,2646,nu,lunar,greu,da,scazut,firma_curatenie
rural,firm_curatenie,183,15002,1362,da,saptamanal,usoara,nu,ridicat,firma_curatenie
periurban,retail,34,6117,3456,nu,zilnic,usoara,nu,scazut,firma_curatenie
rural,persoana_fizica,2,23,84,nu,zilnic,greu,nu,mediu,horeca
urban,persoana_fizica,1,138,367,da,saptamanal,medie,nu,mediu,firma_curatenie
periurban,persoana_fizica,2,201,230,nu,ocazional,medie,nu,mediu,persoana_fizica
urban,persoana_fizica,1,40,292,da,saptamanal,medie,da,scazut,persoana_fizica
urban,industrial,381,27048,7045,da,zilnic,medie,nu,ridicat,firma_curatenie
urban,industrial,198,10442,5109,nu,saptamanal,greu,da,mediu,firma_curatenie
periurban,persoana_fizica,2,353,156,nu,lunar,usoara,da,mediu,persoana_fizica
rural,horeca,46,4671,1904,nu,saptamanal,usoara,nu,scazut,horeca
periurban,retail,67,7838,3435,da,saptamanal,usoara,nu,ridicat,firma_curatenie
urban,firm_curatenie,168,20630,2726,nu,lunar,usoara,nu,mediu,firma_curatenie
urban,firm_curatenie,80,10522,2558,nu,lunar,medie,nu,scazut,firma_curatenie
periurban,retail,11,1145,2358,nu,zilnic,greu,nu,mediu,horeca
urban,horeca,42,562,3619,da,zilnic,medie,nu,ridicat,persoana_fizica
urban,firm_curatenie,165,12143,1577,nu,saptamanal,greu,da,scazut,firma_curatenie
urban,firm_curatenie,174,7818,1319,nu,lunar,greu,da,scazut,persoana_fizica
urban,retail,63,8771,2167,da,ocazional,medie,nu,mediu,firma_curatenie
urban,persoana_fizica,1,20,181,nu,saptamanal,medie,nu,mediu,persoana_fizica
urban,persoana_fizica,5,585,317,da,lunar,medie,nu,ridicat,persoana_fizica
urban,firm_curatenie,22,1100,634,da,zilnic,usoara,nu,mediu,horeca
urban,retail,72,13700,2460,nu,ocazional,medie,nu,scazut,horeca
rural,retail,84,6195,3258,nu,lunar,medie,nu,mediu,firma_curatenie
urban,horeca,120,8615,5978,da,lunar,medie,nu,scazut,horeca
urban,horeca,84,15577,2088,da,zilnic,medie,nu,mediu,horeca
urban,firm_curatenie,19,1696,884,nu,zilnic,usoara,nu,mediu,firma_curatenie
urban,industrial,185,35694,7168,nu,lunar,medie,da,mediu,firma_curatenie
rural,persoana_fizica,5,72,213,nu,zilnic,usoara,nu,scazut,firma_curatenie
periurban,industrial,128,8730,4337,nu,zilnic,usoara,nu,scazut,firma_curatenie
urban,horeca,47,6419,3656,nu,zilnic,medie,da,ridicat,horeca
urban,retail,62,11114,3534,da,zilnic,usoara,nu,ridicat,firma_curatenie
periurban,retail,59,3464,3384,nu,lunar,greu,da,mediu,horeca
rural,persoana_fizica,1,186,224,da,saptamanal,usoara,da,scazut,persoana_fizica
urban,industrial,443,54437,8950,nu,saptamanal,medie,nu,ridicat,firma_curatenie
urban,horeca,36,5838,3296,nu,saptamanal,medie,da,mediu,firma_curatenie
urban,firm_curatenie,154,13162,2043,nu,lunar,usoara,nu,mediu,firma_curatenie
rural,persoana_fizica,3,150,257,nu,ocazional,medie,nu,mediu,persoana_fizica
urban,persoana_fizica,1,183,99,nu,saptamanal,medie,nu,scazut,persoana_fizica
rural,persoana_fizica,5,936,249,nu,saptamanal,usoara,da,mediu,persoana_fizica
urban,firm_curatenie,51,5331,1696,nu,saptamanal,usoara,nu,ridicat,firma_curatenie
urban,persoana_fizica,5,56,93,da,saptamanal,medie,nu,scazut,persoana_fizica
urban,horeca,26,802,3637,nu,lunar,usoara,nu,mediu,horeca
urban,horeca,69,8202,2312,da,saptamanal,medie,nu,mediu,firma_curatenie
urban,persoana_fizica,5,72,70,da,saptamanal,medie,nu,ridicat,persoana_fizica
urban,persoana_fizica,5,427,130,da,saptamanal,usoara,da,mediu,persoana_fizica
urban,firm_curatenie,167,11295,3689,nu,ocazional,medie,nu,ridicat,firma_curatenie
periurban,horeca,105,15301,2164,nu,ocazional,medie,da,mediu,firma_curatenie
urban,horeca,75,1541,3484,nu,lunar,medie,nu,mediu,horeca
urban,firm_curatenie,178,18308,915,da,saptamanal,usoara,nu,scazut,firma_curatenie
rural,retail,37,4441,5021,da,zilnic,medie,nu,ridicat,firma_curatenie
periurban,industrial,182,23165,5208,nu,lunar,usoara,nu,scazut,firma_curatenie
rural,horeca,145,12612,1973,da,zilnic,usoara,da,ridicat,firma_curatenie
rural,retail,12,813,3562,da,lunar,medie,nu,mediu,horeca
urban,retail,68,9497,4960,nu,saptamanal,usoara,nu,ridicat,firma_curatenie
urban,retail,72,12314,2010,nu,saptamanal,usoara,nu,mediu,firma_curatenie
periurban,firm_curatenie,76,10775,1295,da,saptamanal,usoara,da,scazut,firma_curatenie
urban,industrial,237,44342,11885,da,ocazional,usoara,nu,mediu,firma_curatenie
urban,horeca,29,4242,2815,nu,zilnic,usoara,nu,mediu,horeca
periurban,horeca,64,9937,2645,nu,lunar,usoara,da,mediu,firma_curatenie
urban,firm_curatenie,179,7500,50,nu,lunar,usoara,nu,mediu,firma_curatenie
urban,persoana_fizica,3,269,197,da,ocazional,medie,da,scazut,persoana_fizica
urban,firm_curatenie,50,5108,644,da,saptamanal,usoara,nu,mediu,firma_curatenie
urban,firm_curatenie,90,5282,1439,nu,saptamanal,medie,nu,scazut,firma_curatenie
urban,horeca,145,16011,50,da,ocazional,usoara,da,scazut,firma_curatenie
urban,retail,23,1500,3982,nu,saptamanal,medie,nu,ridicat,horeca
periurban,retail,3,421,740,da,saptamanal,usoara,nu,mediu,firma_curatenie
urban,horeca,127,12618,88,nu,saptamanal,greu,nu,ridicat,firma_curatenie
urban,retail,21,2040,1410,nu,zilnic,medie,nu,scazut,horeca
periurban,retail,62,12207,3996,nu,saptamanal,usoara,nu,scazut,firma_curatenie
rural,retail,35,2959,1966,nu,lunar,usoara,nu,mediu,firma_curatenie
periurban,firm_curatenie,8,630,1688,da,lunar,medie,nu,mediu,horeca
periurban,persoana_fizica,2,141,238,nu,zilnic,greu,nu,scazut,firma_curatenie
urban,industrial,12,2160,4545,da,lunar,medie,da,scazut,horeca
urban,persoana_fizica,3,313,299,da,saptamanal,medie,da,scazut,persoana_fizica
urban,horeca,56,6944,2640,da,saptamanal,usoara,nu,mediu,firma_curatenie
urban,persoana_fizica,1,44,182,nu,ocazional,usoara,nu,ridicat,persoana_fizica
urban,persoana_fizica,3,338,381,nu,saptamanal,usoara,da,mediu,persoana_fizica
urban,persoana_fizica,4,248,204,nu,lunar,usoara,nu,mediu,persoana_fizica
periurban,firm_curatenie,74,11012,2230,nu,saptamanal,usoara,nu,scazut,firma_curatenie
urban,horeca,61,10259,2684,nu,lunar,usoara,da,ridicat,persoana_fizica
urban,retail,89,12977,50,nu,saptamanal,medie,nu,scazut,firma_curatenie
urban,retail,99,14725,3547,nu,saptamanal,medie,nu,mediu,firma_curatenie
urban,firm_curatenie,148,15890,3660,nu,saptamanal,usoara,nu,scazut,firma_curatenie
urban,industrial,33,4794,8767,nu,saptamanal,greu,nu,mediu,firma_curatenie
periurban,horeca,81,7315,2162,da,zilnic,usoara,nu,ridicat,horeca
urban,persoana_fizica,4,535,186,da,lunar,usoara,nu,mediu,persoana_fizica
urban,retail,71,4204,2919,nu,saptamanal,medie,nu,ridicat,firma_curatenie
urban,retail,33,767,2876,da,lunar,medie,nu,ridicat,persoana_fizica
periurban,industrial,357,31615,7042,da,saptamanal,greu,nu,scazut,firma_curatenie
urban,horeca,96,9382,3304,nu,saptamanal,usoara,nu,mediu,horeca
urban,retail,32,1878,2066,da,ocazional,usoara,nu,ridicat,horeca
urban,firm_curatenie,22,3261,2136,nu,ocazional,medie,nu,scazut,firma_curatenie
urban,persoana_fizica,4,95,279,nu,saptamanal,usoara,nu,ridicat,persoana_fizica
periurban,persoana_fizica,3,156,433,nu,ocazional,usoara,nu,ridicat,persoana_fizica
periurban,persoana_fizica,3,456,160,da,saptamanal,medie,nu,ridicat,persoana_fizica
urban,horeca,125,11631,3339,da,zilnic,usoara,nu,mediu,horeca
periurban,retail,62,8928,2064,nu,saptamanal,usoara,nu,ridicat,horeca
periurban,firm_curatenie,150,17673,2307,da,ocazional,usoara,da,mediu,firma_curatenie
periurban,firm_curatenie,60,11438,2975,nu,ocazional,usoara,nu,mediu,firma_curatenie
periurban,persoana_fizica,5,617,183,nu,zilnic,usoara,nu,scazut,firma_curatenie
urban,persoana_fizica,3,38,50,da,lunar,medie,da,ridicat,persoana_fizica
urban,retail,4,308,3734,nu,lunar,usoara,nu,ridicat,firma_curatenie
urban,horeca,101,3755,3195,nu,saptamanal,greu,da,mediu,horeca
periurban,firm_curatenie,171,31751,1657,da,lunar,usoara,nu,mediu,firma_curatenie
urban,retail,63,1875,1821,da,saptamanal,greu,nu,mediu,firma_curatenie
periurban,persoana_fizica,3,250,224,da,zilnic,medie,da,ridicat,persoana_fizica
periurban,firm_curatenie,111,5878,1304,da,lunar,usoara,da,scazut,firma_curatenie
urban,persoana_fizica,2,341,153,nu,saptamanal,usoara,nu,mediu,persoana_fizica
periurban,persoana_fizica,1,68,100,da,saptamanal,usoara,nu,ridicat,persoana_fizica
urban,persoana_fizica,2,396,145,da,zilnic,medie,nu,scazut,horeca
urban,persoana_fizica,2,34,250,nu,lunar,usoara,da,ridicat,persoana_fizica
periurban,retail,56,1924,842,nu,saptamanal,medie,da,ridicat,persoana_fizica
urban,retail,96,5057,3882,da,saptamanal,medie,da,ridicat,firma_curatenie
periurban,persoana_fizica,4,656,105,nu,lunar,medie,da,mediu,persoana_fizica
periurban,firm_curatenie,39,6899,2149,da,zilnic,medie,nu,mediu,firma_curatenie
urban,retail,13,306,3081,nu,ocazional,usoara,nu,mediu,horeca
urban,persoana_fizica,5,80,265,nu,saptamanal,medie,nu,mediu,persoana_fizica
urban,persoana_fizica,4,605,265,nu,saptamanal,medie,nu,scazut,persoana_fizica
urban,horeca,125,4417,2873,nu,zilnic,greu,nu,ridicat,horeca
rural,retail,70,2468,2294,nu,zilnic,usoara,nu,mediu,firma_curatenie
urban,persoana_fizica,1,14,247,nu,ocazional,medie,da,scazut,persoana_fizica
urban,firm_curatenie,180,3503,2278,nu,saptamanal,greu,nu,scazut,firma_curatenie
urban,horeca,88,5288,2481,da,lunar,medie,nu,mediu,firma_curatenie
urban,retail,97,2168,2945,da,zilnic,medie,nu,ridicat,firma_curatenie
periurban,firm_curatenie,136,10891,1832,nu,lunar,greu,nu,mediu,firma_curatenie
urban,industrial,175,29439,3198,nu,ocazional,greu,nu,scazut,firma_curatenie
periurban,persoana_fizica,5,360,169,nu,saptamanal,medie,da,mediu,persoana_fizica
urban,persoana_fizica,1,148,238,nu,saptamanal,usoara,nu,mediu,persoana_fizica
rural,horeca,135,3758,1607,nu,ocazional,medie,nu,scazut,firma_curatenie
urban,firm_curatenie,90,12175,3106,da,lunar,usoara,nu,mediu,firma_curatenie
urban,industrial,71,4982,3328,da,zilnic,usoara,nu,mediu,horeca
rural,horeca,68,10366,50,nu,saptamanal,greu,nu,mediu,firma_curatenie
urban,retail,19,681,3163,nu,zilnic,medie,nu,ridicat,horeca
rural,horeca,130,23477,50,nu,ocazional,greu,nu,mediu,firma_curatenie
urban,firm_curatenie,109,6113,988,nu,lunar,medie,nu,ridicat,firma_curatenie
urban,firm_curatenie,66,5088,4422,nu,ocazional,medie,nu,ridicat,firma_curatenie
urban,persoana_fizica,3,571,284,nu,zilnic,greu,nu,mediu,firma_curatenie
periurban,industrial,259,31057,7932,da,saptamanal,usoara,da,scazut,firma_curatenie
urban,horeca,17,1351,1321,nu,zilnic,medie,da,ridicat,horeca
urban,horeca,47,8949,2720,da,saptamanal,medie,da,ridicat,firma_curatenie
urban,horeca,134,9718,4862,nu,zilnic,usoara,da,mediu,horeca
urban,persoana_fizica,5,140,251,da,saptamanal,usoara,nu,mediu,persoana_fizica
urban,horeca,132,26320,4703,da,lunar,usoara,nu,mediu,firma_curatenie
periurban,retail,53,3227,4637,da,zilnic,medie,nu,scazut,horeca
rural,persoana_fizica,2,343,252,da,saptamanal,usoara,nu,mediu,horeca
rural,persoana_fizica,5,207,101,nu,ocazional,medie,nu,scazut,persoana_fizica
periurban,firm_curatenie,168,25024,2598,nu,ocazional,medie,da,scazut,firma_curatenie
urban,industrial,178,19516,4293,da,saptamanal,medie,nu,mediu,firma_curatenie
periurban,firm_curatenie,46,9033,709,nu,ocazional,usoara,nu,ridicat,firma_curatenie
urban,firm_curatenie,139,15990,2894,nu,saptamanal,medie,nu,ridicat,firma_curatenie
urban,persoana_fizica,4,59,296,da,saptamanal,usoara,nu,ridicat,persoana_fizica
urban,persoana_fizica,3,374,192,da,ocazional,usoara,da,mediu,persoana_fizica
urban,horeca,116,4362,3480,da,lunar,usoara,nu,mediu,firma_curatenie
periurban,horeca,81,13099,50,nu,ocazional,medie,nu,ridicat,firma_curatenie
urban,retail,97,16756,3848,da,lunar,usoara,da,mediu,firma_curatenie
urban,firm_curatenie,84,8534,2793,da,zilnic,usoara,nu,scazut,firma_curatenie
urban,retail,58,9211,2800,da,saptamanal,usoara,nu,mediu,firma_curatenie
rural,persoana_fizica,4,150,99,nu,saptamanal,greu,nu,ridicat,persoana_fizica
urban,horeca,138,14282,533,nu,saptamanal,greu,nu,scazut,firma_curatenie
urban,persoana_fizica,4,339,362,da,zilnic,usoara,nu,scazut,persoana_fizica
urban,horeca,36,4541,1500,nu,saptamanal,usoara,nu,mediu,horeca
periurban,retail,76,1402,2661,nu,ocazional,greu,nu,ridicat,persoana_fizica
urban,persoana_fizica,2,305,122,da,ocazional,usoara,nu,scazut,persoana_fizica
urban,horeca,72,1802,50,da,lunar,usoara,da,mediu,firma_curatenie
urban,persoana_fizica,1,134,235,nu,saptamanal,usoara,nu,scazut,persoana_fizica
urban,industrial,144,1944,6811,nu,lunar,greu,da,mediu,firma_curatenie
urban,horeca,118,19830,496,nu,lunar,medie,nu,mediu,firma_curatenie
urban,industrial,273,11791,8324,nu,ocazional,usoara,da,scazut,horeca
rural,horeca,68,7340,2210,da,zilnic,usoara,nu,ridicat,horeca
urban,firm_curatenie,139,8296,917,da,saptamanal,greu,nu,ridicat,firma_curatenie
urban,firm_curatenie,45,6628,851,nu,ocazional,medie,nu,mediu,firma_curatenie
rural,horeca,44,3126,4306,nu,ocazional,medie,nu,scazut,horeca
urban,firm_curatenie,7,1033,76,da,saptamanal,usoara,nu,mediu,firma_curatenie
urban,firm_curatenie,149,9554,757,nu,zilnic,medie,nu,ridicat,firma_curatenie
urban,industrial,203,31052,6294,nu,lunar,usoara,nu,scazut,firma_curatenie
urban,retail,81,1281,2858,da,saptamanal,medie,nu,mediu,horeca
rural,persoana_fizica,5,319,118,nu,lunar,usoara,nu,mediu,persoana_fizica
urban,firm_curatenie,118,12359,3286,da,saptamanal,usoara,nu,scazut,firma_curatenie
periurban,firm_curatenie,116,2153,886,nu,zilnic,medie,nu,mediu,firma_curatenie
urban,firm_curatenie,184,8343,1791,nu,zilnic,medie,da,mediu,firma_curatenie
urban,persoana_fizica,4,750,172,da,saptamanal,usoara,nu,mediu,persoana_fizica
urban,industrial,253,49486,3988,nu,zilnic,usoara,da,ridicat,firma_curatenie
urban,horeca,138,20776,2707,nu,zilnic,medie,nu,ridicat,horeca
urban,firm_curatenie,170,9846,1774,da,saptamanal,medie,nu,mediu,firma_curatenie
periurban,persoana_fizica,2,118,180,da,saptamanal,medie,nu,mediu,horeca
urban,horeca,143,18976,2727,da,saptamanal,medie,da,mediu,horeca
rural,horeca,21,679,4628,nu,zilnic,usoara,da,mediu,horeca
urban,persoana_fizica,4,760,181,da,ocazional,medie,nu,scazut,firma_curatenie
periurban,persoana_fizica,3,158,255,da,zilnic,usoara,nu,scazut,persoana_fizica
periurban,firm_curatenie,35,6997,2148,da,saptamanal,greu,da,ridicat,firma_curatenie
periurban,firm_curatenie,167,17399,2366,da,saptamanal,medie,nu,scazut,firma_curatenie
periurban,industrial,409,64037,7333,nu,ocazional,medie,nu,mediu,firma_curatenie
periurban,firm_curatenie,111,1156,859,nu,saptamanal,usoara,da,mediu,horeca
urban,firm_curatenie,150,26829,2627,nu,zilnic,usoara,nu,scazut,firma_curatenie
urban,firm_curatenie,115,7049,1787,nu,zilnic,medie,nu,ridicat,firma_curatenie
urban,firm_curatenie,105,14375,1038,nu,lunar,usoara,nu,ridicat,firma_curatenie
rural,horeca,116,18932,4163,da,lunar,greu,nu,mediu,firma_curatenie
urban,retail,64,2636,1989,da,saptamanal,medie,nu,ridicat,firma_curatenie
periurban,horeca,116,10912,3566,da,zilnic,usoara,nu,scazut,horeca
urban,horeca,120,12459,50,nu,saptamanal,usoara,da,ridicat,firma_curatenie
urban,persoana_fizica,5,346,258,nu,saptamanal,medie,nu,mediu,persoana_fizica
urban,persoana_fizica,3,304,407,da,lunar,usoara,nu,mediu,firma_curatenie
urban,retail,30,2110,2490,da,zilnic,medie,nu,scazut,firma_curatenie
urban,retail,11,863,2183,da,saptamanal,medie,nu,mediu,horeca
urban,firm_curatenie,147,20164,1538,nu,saptamanal,usoara,da,ridicat,firma_curatenie
urban,retail,23,2994,3166,nu,lunar,medie,nu,mediu,persoana_fizica
urban,persoana_fizica,4,216,175,da,lunar,medie,nu,mediu,persoana_fizica
urban,industrial,172,31049,6942,nu,ocazional,greu,nu,ridicat,firma_curatenie
urban,persoana_fizica,2,347,337,nu,saptamanal,medie,da,mediu,persoana_fizica
periurban,industrial,106,11312,7523,da,saptamanal,medie,nu,mediu,firma_curatenie
urban,retail,53,4892,2290,da,saptamanal,usoara,nu,ridicat,persoana_fizica
urban,firm_curatenie,87,7099,884,nu,saptamanal,usoara,nu,ridicat,firma_curatenie
urban,persoana_fizica,5,721,167,da,zilnic,usoara,nu,mediu,persoana_fizica
urban,industrial,136,18715,4517,da,saptamanal,medie,da,mediu,firma_curatenie
urban,retail,46,2174,917,da,zilnic,usoara,nu,ridicat,horeca
urban,firm_curatenie,197,27102,3086,nu,ocazional,medie,nu,scazut,firma_curatenie
urban,persoana_fizica,3,173,245,nu,lunar,usoara,da,scazut,persoana_fizica
urban,horeca,97,1312,1427,nu,zilnic,medie,da,mediu,firma_curatenie
urban,firm_curatenie,92,13142,220,da,zilnic,medie,nu,mediu,firma_curatenie
periurban,horeca,84,11130,4076,da,saptamanal,medie,nu,mediu,horeca
periurban,firm_curatenie,157,13824,356,nu,saptamanal,greu,nu,mediu,firma_curatenie
urban,retail,89,9779,2600,da,saptamanal,medie,nu,scazut,firma_curatenie
urban,horeca,96,18236,2385,nu,saptamanal,usoara,nu,ridicat,firma_curatenie
urban,retail,49,6031,3459,da,ocazional,medie,nu,mediu,firma_curatenie
urban,firm_curatenie,188,25379,2811,nu,saptamanal,medie,nu,mediu,firma_curatenie
rural,horeca,42,930,1768,nu,saptamanal,medie,da,mediu,persoana_fizica
urban,firm_curatenie,143,5940,2887,nu,lunar,medie,nu,ridicat,firma_curatenie
urban,firm_curatenie,199,13369,1710,da,zilnic,usoara,nu,scazut,firma_curatenie
urban,firm_curatenie,19,2137,2018,nu,zilnic,medie,nu,scazut,firma_curatenie
periurban,firm_curatenie,5,787,2039,da,saptamanal,usoara,nu,ridicat,firma_curatenie
urban,persoana_fizica,1,71,379,nu,lunar,medie,da,ridicat,persoana_fizica
urban,horeca,53,4118,2820,da,saptamanal,usoara,da,mediu,horeca
urban,horeca,100,5866,492,nu,zilnic,usoara,da,scazut,horeca
